"Sudoku","ConflictsBefore","ConflictsAfter","Difference","NumAddedClauses"
"sud425",9326,9332,6,6
"sud426",0,5,5,5
"sud427",854,857,3,3
"sud428",0,0,0,0
"sud429",1060,843,-217,4
"sud430",0,1,1,1
"sud431",16,16,0,3
"sud432",0,4,4,4
"sud433",29,38,9,7
"sud435",24,25,1,1
"sud436",0,1,1,1
"sud437",0,4,4,4
"sud438",95,99,4,4
"sud439",0,6,6,6
"sud440",2195,1814,-381,5
"sud442",0,2,2,2
"sud445",1537,866,-671,5
"sud446",28,29,1,1
"sud447",11,15,4,4
"sud448",12,14,2,2
"sud449",15,18,3,3
"sud451",1,4,3,3
"sud452",21399,15195,-6204,4
"sud453",359,361,2,2
"sud455",10196,10199,3,3
"sud457",1,2,1,1
"sud458",6,10,4,4
"sud459",24660,20760,-3900,13
"sud46",0,0,0,0
"sud460",0,2,2,2
"sud462",0,2,2,2
"sud463",1,3,2,2
"sud464",0,2,2,2
"sud465",0,2,2,2
"sud466",10623,5898,-4725,2
"sud467",932,228,-704,5
"sud468",0,1,1,1
"sud47",2,5,3,3
"sud471",0,4,4,4
"sud473",0,3,3,3
"sud474",0,2,2,2
"sud477",0,3,3,3
"sud478",0,2,2,2
"sud481",426,426,0,0
"sud482",0,3,3,3
"sud483",132,461,329,5
"sud486",0,3,3,3
"sud488",5,8,3,3
"sud489",0,1,1,1
"sud490",299,189,-110,2
"sud493",46,50,4,4
"sud494",13958,23863,9905,5
"sud495",150,151,1,1
"sud496",0,5,5,5
"sud50",0,4,4,4
"sud500",0,4,4,4
"sud501",9932,10983,1051,1
"sud502",11,14,3,3
"sud503",129,136,7,7
"sud504",0,4,4,4
"sud505",186,188,2,2
"sud506",0,0,0,0
"sud509",67,70,3,3
"sud510",248,620,372,5
"sud511",66535,14054,-52481,4
"sud512",0,6,6,6
"sud513",2123,825,-1298,11
"sud516",29,33,4,4
"sud518",158,184,26,2
"sud519",0,4,4,4
"sud52",4,9,5,5
"sud523",3666,3667,1,1
"sud525",0,2,2,2
"sud526",0,2,2,2
"sud528",0,1,1,1
"sud529",0,4,4,4
"sud53",2,6,4,4
"sud530",0,5,5,5
"sud531",0,2,2,2
"sud533",581,588,7,7
"sud534",0,4,4,4
"sud535",3164,14110,10946,12
"sud536",8,10,2,2
"sud537",66,70,4,6
"sud539",0,5,5,5
"sud540",0,1,1,1
"sud541",0,7,7,7
"sud544",0,6,6,6
"sud545",54,58,4,5
"sud548",1001,833,-168,4
"sud549",43,48,5,5
"sud55",0,3,3,3
"sud550",50,52,2,2
"sud551",0,3,3,3
"sud553",4,5,1,1
"sud554",1,5,4,4
"sud555",0,9,9,9
"sud556",1507,1509,2,2
"sud558",335,336,1,1
"sud559",0,4,4,4
"sud56",0,3,3,3
"sud560",9,12,3,3
"sud561",182,150,-32,3
"sud564",50,51,1,1
"sud565",4363,213,-4150,6
"sud566",190,195,5,5
"sud567",46,55,9,9
"sud57",0,2,2,2
"sud570",16,19,3,3
"sud573",222,225,3,3
"sud574",0,4,4,4
"sud575",835,1031,196,4
"sud576",105,108,3,3
"sud577",0,3,3,3
"sud578",0,4,4,4
"sud580",0,4,4,4
"sud581",2,5,3,3
"sud582",205,1128,923,1
"sud585",0,2,2,2
"sud589",968,576,-392,2
"sud590",0,10,10,10
"sud591",75,84,9,9
"sud593",16810,20738,3928,7
"sud598",12,20,8,8
"sud599",0,3,3,3
"sud6",709,239,-470,6
"sud601",1,6,5,5
"sud602",0,4,4,4
"sud604",8530,3984,-4546,3
"sud605",0,3,3,3
"sud606",0,2,2,2
"sud607",0,2,2,2
"sud608",0,0,0,0
"sud609",4380,7225,2845,6
"sud61",0,4,4,4
"sud613",0,3,3,3
"sud614",20,20,0,0
"sud615",0,0,0,0
"sud617",411,1070,659,2
